ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,"Plateforme latérale 1x1","-"
Tobbert.HorizontalPlatformEnd1x1.Description,"Une plateforme qui peut être placée sur le côté de falaises et de la plupart des bâtiments.","-"
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Imaginez si vous pouviez les empiler les unes sur les autres.","-"
Tobbert.HorizontalPlatformEnd2x1.DisplayName,"Plateforme latérale 2x1","-"
Tobbert.HorizontalPlatformEnd2x1.Description,"Une plateforme qui peut être placée sur le côté de falaises et de la plupart des bâtiments.","-"
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Doublez les plateformes, doublez le plaisir !","-"
Tobbert.HorizontalPlatformEnd3x1.DisplayName,"Plateforme latérale 3x1","-"
Tobbert.HorizontalPlatformEnd3x1.Description,"Une plateforme qui peut être placée sur le côté de falaises et de la plupart des bâtiments.","-"
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"C'est pour les très très longs.","-"
Tobbert.HorizontalPlatformEnd4x1.DisplayName,"Plateforme latérale 4x1","-"
Tobbert.HorizontalPlatformEnd4x1.Description,"Une plateforme qui peut être placée sur le côté de falaises et de la plupart des bâtiments.","-"
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"Ce n'est pas comme ça que la physique fonctionne.","-"
Tobbert.ReinforcedPlatform.DisplayName,"Plateforme Renforcée","-"
Tobbert.ReinforcedPlatform.Description,"Une plateforme qui peut être utilisée en combinaison avec les Plateformes Latérales. Sert d'option plus esthétique que les digues.","-"
Tobbert.ReinforcedPlatform.FlavorDescription,"Empilez-la jusqu'en haut !","-"
Tobbert.DoubleReinforcedPlatform.DisplayName,"Plateforme Doublement Renforcée","-"
Tobbert.DoubleReinforcedPlatform.Description,"Une plateforme qui peut être utilisée en combinaison avec les Plateformes Latérales. Sert d'option plus esthétique que les digues.","-"
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Empilez, empilez-la jusqu'en haut !","-"
Tobbert.TripleReinforcedPlatform.DisplayName,"Plateforme Triplement Renforcée","-"
Tobbert.TripleReinforcedPlatform.Description,"Une plateforme qui peut être utilisée en combinaison avec les Plateformes Latérales. Sert d'option plus esthétique que les digues.","-"
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Empilez, empilez, empilez-la jusqu'en haut !","-"
Tobbert.CategoryReinforcedPlatforms.DisplayName,"Plateformes Renforcées","-"
Tobbert.CategorySidePlatforms.DisplayName,"Plus de Plateformes","-"
Tobbert.DynamiteBlocker.SidePlatformAttached,"Impossible de placer de la dynamite ici : une plateforme latérale est attachée à ce terrain.","-"
